SystemCodeNumber,Capacity,Occupancy,LastUpdated
BHMBCCMKT01,577,114,2016-10-10 16:30:49
BHMBCCMKT01,577,56,2016-10-11 08:04:57
BHMBCCMKT01,577,64,2016-10-11 08:30:54
BHMBCCMKT01,577,74,2016-10-11 08:57:56
BHMBCCMKT01,577,93,2016-10-11 09:30:55
BHMBCCMKT01,577,129,2016-10-11 09:57:59
BHMBCCMKT01,577,167,2016-10-11 10:30:54
BHMBCCMKT01,577,200,2016-10-11 10:57:55
BHMBCCMKT01,577,219,2016-10-11 11:30:59
BHMBCCMKT01,577,225,2016-10-11 12:03:55
BHMBCCMKT01,577,221,2016-10-11 12:30:56
BHMBCCMKT01,577,217,2016-10-11 13:04:00
BHMBCCMKT01,577,217,2016-10-11 13:31:01
BHMBCCMKT01,577,208,2016-10-11 14:04:00
BHMBCCMKT01,577,191,2016-10-11 14:30:56
BHMBCCMKT01,577,167,2016-10-11 15:03:58
BHMBCCMKT01,577,159,2016-10-11 15:33:56
BHMBCCMKT01,577,150,2016-10-11 16:01:00
BHMBCCMKT01,577,127,2016-10-11 16:26:56
BHMBCCMKT01,577,51,2016-10-12 08:04:00
BHMBCCMKT01,577,57,2016-10-12 08:31:01
BHMBCCMKT01,577,64,2016-10-12 09:03:59
BHMBCCMKT01,577,73,2016-10-12 09:26:58
BHMBCCMKT01,577,99,2016-10-12 10:01:04
BHMBCCMKT01,577,112,2016-10-12 10:31:04
BHMBCCMKT01,577,127,2016-10-12 11:04:01
BHMBCCMKT01,577,128,2016-10-12 11:31:05
BHMBCCMKT01,577,143,2016-10-12 12:04:04
BHMBCCMKT01,577,158,2016-10-12 12:31:05
BHMBCCMKT01,577,157,2016-10-12 13:04:04
BHMBCCMKT01,577,164,2016-10-12 13:34:03
BHMBCCMKT01,577,167,2016-10-12 14:03:59
BHMBCCMKT01,577,159,2016-10-12 14:34:04
BHMBCCMKT01,577,140,2016-10-12 15:01:03
BHMBCCMKT01,577,128,2016-10-12 15:30:59
BHMBCCMKT01,577,121,2016-10-12 15:57:05
BHMBCCMKT01,577,111,2016-10-12 16:31:05
BHMBCCMKT01,577,58,2016-10-13 07:57:02
BHMBCCMKT01,577,65,2016-10-13 08:31:06
BHMBCCMKT01,577,76,2016-10-13 09:04:02
BHMBCCMKT01,577,97,2016-10-13 09:31:01
BHMBCCMKT01,577,127,2016-10-13 09:57:08
BHMBCCMKT01,577,166,2016-10-13 10:31:03
BHMBCCMKT01,577,200,2016-10-13 11:04:08
BHMBCCMKT01,577,220,2016-10-13 11:31:06
BHMBCCMKT01,577,230,2016-10-13 11:57:06
BHMBCCMKT01,577,231,2016-10-13 12:31:08
BHMBCCMKT01,577,214,2016-10-13 13:04:04
BHMBCCMKT01,577,203,2016-10-13 13:31:08
BHMBCCMKT01,577,205,2016-10-13 13:57:07
BHMBCCMKT01,577,181,2016-10-13 14:31:06
BHMBCCMKT01,577,162,2016-10-13 15:04:08
BHMBCCMKT01,577,144,2016-10-13 15:31:08
BHMBCCMKT01,577,132,2016-10-13 16:04:08
BHMBCCMKT01,577,130,2016-10-13 16:31:08
BHMBCCMKT01,577,53,2016-10-14 08:01:05
BHMBCCMKT01,577,57,2016-10-14 08:27:10
BHMBCCMKT01,577,67,2016-10-14 09:01:08
BHMBCCMKT01,577,100,2016-10-14 09:27:10
BHMBCCMKT01,577,134,2016-10-14 10:01:11
BHMBCCMKT01,577,157,2016-10-14 10:27:09
BHMBCCMKT01,577,205,2016-10-14 11:01:07
BHMBCCMKT01,577,220,2016-10-14 11:27:06
BHMBCCMKT01,577,224,2016-10-14 12:01:11
BHMBCCMKT01,577,213,2016-10-14 12:27:06
BHMBCCMKT01,577,205,2016-10-14 13:01:11
BHMBCCMKT01,577,201,2016-10-14 13:27:07
BHMBCCMKT01,577,182,2016-10-14 14:01:11
BHMBCCMKT01,577,174,2016-10-14 14:34:08
BHMBCCMKT01,577,171,2016-10-14 15:01:12
BHMBCCMKT01,577,161,2016-10-14 15:27:08
BHMBCCMKT01,577,138,2016-10-14 16:01:11
BHMBCCMKT01,577,134,2016-10-14 16:34:08
BHMBCCMKT01,577,53,2016-10-15 08:01:11
BHMBCCMKT01,577,63,2016-10-15 08:34:10
BHMBCCMKT01,577,77,2016-10-15 09:01:09
BHMBCCMKT01,577,101,2016-10-15 09:27:11
BHMBCCMKT01,577,154,2016-10-15 10:01:12
BHMBCCMKT01,577,171,2016-10-15 10:27:15
BHMBCCMKT01,577,211,2016-10-15 11:01:14
BHMBCCMKT01,577,239,2016-10-15 11:27:14
BHMBCCMKT01,577,276,2016-10-15 12:01:12
BHMBCCMKT01,577,297,2016-10-15 12:27:10
BHMBCCMKT01,577,332,2016-10-15 13:01:14
BHMBCCMKT01,577,352,2016-10-15 13:34:13
BHMBCCMKT01,577,391,2016-10-15 14:01:13
BHMBCCMKT01,577,409,2016-10-15 14:27:12
BHMBCCMKT01,577,442,2016-10-15 15:01:13
BHMBCCMKT01,577,428,2016-10-15 15:27:12
BHMBCCMKT01,577,412,2016-10-15 16:01:15
BHMBCCMKT01,577,393,2016-10-15 16:27:16
BHMBCCMKT01,577,48,2016-10-16 08:04:13
BHMBCCMKT01,577,48,2016-10-16 08:27:13
BHMBCCMKT01,577,55,2016-10-16 09:01:15
BHMBCCMKT01,577,57,2016-10-16 09:27:13
BHMBCCMKT01,577,57,2016-10-16 10:04:13
BHMBCCMKT01,577,56,2016-10-16 10:34:13
BHMBCCMKT01,577,56,2016-10-16 11:01:13
BHMBCCMKT01,577,56,2016-10-16 11:27:17
BHMBCCMKT01,577,65,2016-10-16 12:01:16
BHMBCCMKT01,577,105,2016-10-16 12:27:14
BHMBCCMKT01,577,131,2016-10-16 13:01:16
BHMBCCMKT01,577,146,2016-10-16 13:27:17
BHMBCCMKT01,577,170,2016-10-16 14:01:18
BHMBCCMKT01,577,180,2016-10-16 14:27:13
BHMBCCMKT01,577,192,2016-10-16 15:01:18
BHMBCCMKT01,577,185,2016-10-16 15:31:18
BHMBCCMKT01,577,173,2016-10-16 15:57:16
BHMBCCMKT01,577,154,2016-10-16 16:31:17
BHMBCCMKT01,577,50,2016-10-17 08:01:16
BHMBCCMKT01,577,54,2016-10-17 08:27:16
BHMBCCMKT01,577,66,2016-10-17 09:01:17
BHMBCCMKT01,577,76,2016-10-17 09:27:20
BHMBCCMKT01,577,112,2016-10-17 10:04:20
BHMBCCMKT01,577,119,2016-10-17 10:31:16
BHMBCCMKT01,577,144,2016-10-17 11:04:20
BHMBCCMKT01,577,153,2016-10-17 11:31:18
BHMBCCMKT01,577,159,2016-10-17 12:04:19
BHMBCCMKT01,577,154,2016-10-17 12:31:21
BHMBCCMKT01,577,154,2016-10-17 12:57:17
BHMBCCMKT01,577,157,2016-10-17 13:31:21
BHMBCCMKT01,577,161,2016-10-17 14:04:21
BHMBCCMKT01,577,147,2016-10-17 14:31:21
BHMBCCMKT01,577,133,2016-10-17 14:57:18
BHMBCCMKT01,577,121,2016-10-17 15:31:21
BHMBCCMKT01,577,115,2016-10-17 15:57:17
BHMBCCMKT01,577,110,2016-10-17 16:28:21
BHMBCCMKT01,577,57,2016-10-18 08:01:23
BHMBCCMKT01,577,60,2016-10-18 08:28:25
BHMBCCMKT01,577,72,2016-10-18 09:01:23
BHMBCCMKT01,577,91,2016-10-18 09:28:22
BHMBCCMKT01,577,145,2016-10-18 10:01:25
BHMBCCMKT01,577,178,2016-10-18 10:28:58
BHMBCCMKT01,577,220,2016-10-18 11:01:57
BHMBCCMKT01,577,228,2016-10-18 11:27:56
BHMBCCMKT01,577,231,2016-10-18 12:01:59
BHMBCCMKT01,577,224,2016-10-18 12:27:57
BHMBCCMKT01,577,237,2016-10-18 13:01:56
BHMBCCMKT01,577,227,2016-10-18 13:28:57
BHMBCCMKT01,577,226,2016-10-18 13:54:59
BHMBCCMKT01,577,200,2016-10-18 14:27:56
BHMBCCMKT01,577,165,2016-10-18 15:01:58
BHMBCCMKT01,577,157,2016-10-18 15:27:59
BHMBCCMKT01,577,149,2016-10-18 15:55:00
BHMBCCMKT01,577,124,2016-10-18 16:27:54
BHMBCCMKT01,577,49,2016-10-19 08:05:03
BHMBCCMKT01,577,51,2016-10-19 08:25:01
BHMBCCMKT01,577,59,2016-10-19 08:58:05
BHMBCCMKT01,577,76,2016-10-19 09:32:04
BHMBCCMKT01,577,105,2016-10-19 09:58:04
BHMBCCMKT01,577,135,2016-10-19 10:25:04
BHMBCCMKT01,577,156,2016-10-19 10:59:00
BHMBCCMKT01,577,177,2016-10-19 11:25:04
BHMBCCMKT01,577,181,2016-10-19 11:59:05
BHMBCCMKT01,577,171,2016-10-19 12:25:00
BHMBCCMKT01,577,165,2016-10-19 12:58:01
BHMBCCMKT01,577,167,2016-10-19 13:25:03
BHMBCCMKT01,577,161,2016-10-19 13:58:02
BHMBCCMKT01,577,156,2016-10-19 14:32:03
BHMBCCMKT01,577,144,2016-10-19 14:58:03
BHMBCCMKT01,577,127,2016-10-19 15:32:05
BHMBCCMKT01,577,117,2016-10-19 15:59:01
BHMBCCMKT01,577,110,2016-10-19 16:25:03
BHMBCCMKT01,577,57,2016-10-22 07:59:45
BHMBCCMKT01,577,59,2016-10-22 08:26:46
BHMBCCMKT01,577,72,2016-10-22 08:59:44
BHMBCCMKT01,577,93,2016-10-22 09:26:47
BHMBCCMKT01,577,130,2016-10-22 09:59:44
BHMBCCMKT01,577,156,2016-10-22 10:26:47
BHMBCCMKT01,577,198,2016-10-22 10:59:47
BHMBCCMKT01,577,239,2016-10-22 11:32:43
BHMBCCMKT01,577,261,2016-10-22 11:59:46
BHMBCCMKT01,577,324,2016-10-22 12:32:47
BHMBCCMKT01,577,359,2016-10-22 12:59:47
BHMBCCMKT01,577,380,2016-10-22 13:32:43
BHMBCCMKT01,577,408,2016-10-22 13:59:48
BHMBCCMKT01,577,430,2016-10-22 14:39:47
BHMBCCMKT01,577,424,2016-10-22 14:59:48
BHMBCCMKT01,577,403,2016-10-22 15:26:49
BHMBCCMKT01,577,384,2016-10-22 15:59:47
BHMBCCMKT01,577,340,2016-10-22 16:26:47
BHMBCCMKT01,577,47,2016-10-23 07:59:48
BHMBCCMKT01,577,48,2016-10-23 08:26:51
BHMBCCMKT01,577,51,2016-10-23 08:59:50
BHMBCCMKT01,577,50,2016-10-23 09:26:51
BHMBCCMKT01,577,54,2016-10-23 09:59:52
BHMBCCMKT01,577,60,2016-10-23 10:26:53
BHMBCCMKT01,577,80,2016-10-23 10:59:53
BHMBCCMKT01,577,107,2016-10-23 11:26:49
BHMBCCMKT01,577,125,2016-10-23 11:59:50
BHMBCCMKT01,577,144,2016-10-23 12:26:51
BHMBCCMKT01,577,175,2016-10-23 13:06:52
BHMBCCMKT01,577,192,2016-10-23 13:26:55
BHMBCCMKT01,577,215,2016-10-23 13:59:53
BHMBCCMKT01,577,226,2016-10-23 14:26:51
BHMBCCMKT01,577,219,2016-10-23 14:59:53
BHMBCCMKT01,577,215,2016-10-23 15:26:56
BHMBCCMKT01,577,179,2016-10-23 15:59:54
BHMBCCMKT01,577,150,2016-10-23 16:26:57
BHMBCCMKT01,577,47,2016-10-24 07:56:56
BHMBCCMKT01,577,55,2016-10-24 08:29:56
BHMBCCMKT01,577,62,2016-10-24 09:03:01
BHMBCCMKT01,577,73,2016-10-24 09:30:01
BHMBCCMKT01,577,87,2016-10-24 09:55:57
BHMBCCMKT01,577,114,2016-10-24 10:30:02
BHMBCCMKT01,577,137,2016-10-24 11:03:03
BHMBCCMKT01,577,155,2016-10-24 11:29:57
BHMBCCMKT01,577,173,2016-10-24 12:02:57
BHMBCCMKT01,577,191,2016-10-24 12:30:03
BHMBCCMKT01,577,198,2016-10-24 12:56:58
BHMBCCMKT01,577,208,2016-10-24 13:30:03
BHMBCCMKT01,577,219,2016-10-24 13:56:01
BHMBCCMKT01,577,215,2016-10-24 14:30:02
BHMBCCMKT01,577,209,2016-10-24 14:56:02
BHMBCCMKT01,577,209,2016-10-24 15:32:59
BHMBCCMKT01,577,192,2016-10-24 16:00:04
BHMBCCMKT01,577,175,2016-10-24 16:33:03
BHMBCCMKT01,577,54,2016-10-25 08:00:03
BHMBCCMKT01,577,55,2016-10-25 08:26:08
BHMBCCMKT01,577,82,2016-10-25 09:00:03
BHMBCCMKT01,577,95,2016-10-25 09:19:19
BHMBCCMKT01,577,129,2016-10-25 09:56:19
BHMBCCMKT01,577,173,2016-10-25 10:29:19
BHMBCCMKT01,577,202,2016-10-25 10:56:23
BHMBCCMKT01,577,249,2016-10-25 11:29:22
BHMBCCMKT01,577,290,2016-10-25 12:02:23
BHMBCCMKT01,577,303,2016-10-25 12:29:21
BHMBCCMKT01,577,331,2016-10-25 13:03:20
BHMBCCMKT01,577,345,2016-10-25 13:29:24
BHMBCCMKT01,577,363,2016-10-25 13:56:21
BHMBCCMKT01,577,365,2016-10-25 14:29:23
BHMBCCMKT01,577,340,2016-10-25 15:02:24
BHMBCCMKT01,577,302,2016-10-25 15:29:22
BHMBCCMKT01,577,273,2016-10-25 15:56:25
BHMBCCMKT01,577,226,2016-10-25 16:29:22
BHMBCCMKT01,577,56,2016-10-26 07:59:26
BHMBCCMKT01,577,63,2016-10-26 08:32:27
BHMBCCMKT01,577,70,2016-10-26 08:59:29
BHMBCCMKT01,577,87,2016-10-26 09:26:27
BHMBCCMKT01,577,108,2016-10-26 09:59:25
BHMBCCMKT01,577,125,2016-10-26 10:26:30
BHMBCCMKT01,577,159,2016-10-26 10:59:30
BHMBCCMKT01,577,182,2016-10-26 11:26:28
BHMBCCMKT01,577,198,2016-10-26 11:59:29
BHMBCCMKT01,577,205,2016-10-26 12:26:27
BHMBCCMKT01,577,231,2016-10-26 12:59:31
BHMBCCMKT01,577,244,2016-10-26 13:26:32
BHMBCCMKT01,577,260,2016-10-26 13:59:26
BHMBCCMKT01,577,267,2016-10-26 14:26:26
BHMBCCMKT01,577,252,2016-10-26 14:59:30
BHMBCCMKT01,577,238,2016-10-26 15:26:30
BHMBCCMKT01,577,212,2016-10-26 15:59:32
BHMBCCMKT01,577,180,2016-10-26 16:32:30
BHMBCCMKT01,577,54,2016-10-27 07:59:33
BHMBCCMKT01,577,60,2016-10-27 08:32:33
BHMBCCMKT01,577,69,2016-10-27 08:59:33
BHMBCCMKT01,577,90,2016-10-27 09:32:35
BHMBCCMKT01,577,102,2016-10-27 09:59:37
BHMBCCMKT01,577,117,2016-10-27 10:25:37
BHMBCCMKT01,577,160,2016-10-27 10:59:38
BHMBCCMKT01,577,189,2016-10-27 11:32:32
BHMBCCMKT01,577,207,2016-10-27 11:59:38
BHMBCCMKT01,577,222,2016-10-27 12:26:35
BHMBCCMKT01,577,247,2016-10-27 12:59:36
BHMBCCMKT01,577,271,2016-10-27 13:32:35
BHMBCCMKT01,577,279,2016-10-27 13:59:37
BHMBCCMKT01,577,280,2016-10-27 14:26:38
BHMBCCMKT01,577,266,2016-10-27 14:59:37
BHMBCCMKT01,577,263,2016-10-27 15:26:33
BHMBCCMKT01,577,241,2016-10-27 15:59:38
BHMBCCMKT01,577,225,2016-10-27 16:26:39
BHMBCCMKT01,577,57,2016-10-28 08:16:41
BHMBCCMKT01,577,57,2016-10-28 08:16:41
BHMBCCMKT01,577,69,2016-10-28 08:56:40
BHMBCCMKT01,577,99,2016-10-28 09:29:43
BHMBCCMKT01,577,135,2016-10-28 10:02:44
BHMBCCMKT01,577,171,2016-10-28 10:29:41
BHMBCCMKT01,577,196,2016-10-28 10:56:43
BHMBCCMKT01,577,230,2016-10-28 11:29:44
BHMBCCMKT01,577,262,2016-10-28 12:02:44
BHMBCCMKT01,577,269,2016-10-28 12:29:45
BHMBCCMKT01,577,266,2016-10-28 13:02:43
BHMBCCMKT01,577,275,2016-10-28 13:29:45
BHMBCCMKT01,577,296,2016-10-28 14:02:39
BHMBCCMKT01,577,290,2016-10-28 14:29:45
BHMBCCMKT01,577,282,2016-10-28 15:02:43
BHMBCCMKT01,577,269,2016-10-28 15:29:41
BHMBCCMKT01,577,256,2016-10-28 16:02:40
BHMBCCMKT01,577,220,2016-10-28 16:29:42
BHMBCCMKT01,577,51,2016-10-29 07:59:48
BHMBCCMKT01,577,56,2016-10-29 08:26:46
BHMBCCMKT01,577,66,2016-10-29 08:59:48
BHMBCCMKT01,577,91,2016-10-29 09:26:50
BHMBCCMKT01,577,124,2016-10-29 09:59:51
BHMBCCMKT01,577,164,2016-10-29 10:26:49
BHMBCCMKT01,577,213,2016-10-29 10:59:46
BHMBCCMKT01,577,267,2016-10-29 11:25:51
BHMBCCMKT01,577,314,2016-10-29 12:06:51
BHMBCCMKT01,577,339,2016-10-29 12:26:46
BHMBCCMKT01,577,338,2016-10-29 12:59:51
BHMBCCMKT01,577,368,2016-10-29 13:26:47
BHMBCCMKT01,577,366,2016-10-29 13:59:51
BHMBCCMKT01,577,374,2016-10-29 14:26:50
BHMBCCMKT01,577,414,2016-10-29 14:59:51
BHMBCCMKT01,577,417,2016-10-29 15:26:52
BHMBCCMKT01,577,417,2016-10-29 15:59:51
BHMBCCMKT01,577,369,2016-10-29 16:26:53
BHMBCCMKT01,577,43,2016-10-30 07:59:55
BHMBCCMKT01,577,43,2016-10-30 07:59:55
BHMBCCMKT01,577,43,2016-10-30 07:59:55
BHMBCCMKT01,577,44,2016-10-30 08:25:53
BHMBCCMKT01,577,45,2016-10-30 08:59:52
BHMBCCMKT01,577,44,2016-10-30 09:25:57
BHMBCCMKT01,577,47,2016-10-30 09:59:52
BHMBCCMKT01,577,61,2016-10-30 10:25:54
BHMBCCMKT01,577,84,2016-10-30 10:59:56
BHMBCCMKT01,577,107,2016-10-30 11:25:55
BHMBCCMKT01,577,122,2016-10-30 11:59:58
BHMBCCMKT01,577,142,2016-10-30 12:26:54
BHMBCCMKT01,577,169,2016-10-30 13:06:59
BHMBCCMKT01,577,177,2016-10-30 13:25:59
BHMBCCMKT01,577,182,2016-10-30 13:59:59
BHMBCCMKT01,577,183,2016-10-30 14:32:54
BHMBCCMKT01,577,157,2016-10-30 15:00:00
BHMBCCMKT01,577,147,2016-10-30 15:32:59
BHMBCCMKT01,577,49,2016-10-31 08:00:03
BHMBCCMKT01,577,58,2016-10-31 08:26:02
BHMBCCMKT01,577,67,2016-10-31 09:00:00
BHMBCCMKT01,577,92,2016-10-31 09:26:03
BHMBCCMKT01,577,111,2016-10-31 10:00:05
BHMBCCMKT01,577,129,2016-10-31 10:26:02
BHMBCCMKT01,577,166,2016-10-31 11:00:02
BHMBCCMKT01,577,178,2016-10-31 11:26:04
BHMBCCMKT01,577,198,2016-10-31 12:00:04
BHMBCCMKT01,577,199,2016-10-31 12:26:06
BHMBCCMKT01,577,198,2016-10-31 13:00:06
BHMBCCMKT01,577,201,2016-10-31 13:26:01
BHMBCCMKT01,577,189,2016-10-31 13:59:47
BHMBCCMKT01,577,185,2016-10-31 14:26:05
BHMBCCMKT01,577,160,2016-10-31 15:00:03
BHMBCCMKT01,577,141,2016-10-31 15:27:04
BHMBCCMKT01,577,130,2016-10-31 16:00:07
BHMBCCMKT01,577,121,2016-10-31 16:26:06
BHMBCCMKT01,577,50,2016-11-01 08:06:07
BHMBCCMKT01,577,54,2016-11-01 08:26:07
BHMBCCMKT01,577,69,2016-11-01 09:00:08
BHMBCCMKT01,577,91,2016-11-01 09:26:12
BHMBCCMKT01,577,135,2016-11-01 10:00:08
BHMBCCMKT01,577,163,2016-11-01 10:26:11
BHMBCCMKT01,577,185,2016-11-01 11:00:09
BHMBCCMKT01,577,207,2016-11-01 11:26:11
BHMBCCMKT01,577,239,2016-11-01 12:00:08
BHMBCCMKT01,577,244,2016-11-01 12:26:12
BHMBCCMKT01,577,243,2016-11-01 13:00:12
BHMBCCMKT01,577,241,2016-11-01 13:26:12
BHMBCCMKT01,577,229,2016-11-01 14:00:09
BHMBCCMKT01,577,199,2016-11-01 14:26:10
BHMBCCMKT01,577,180,2016-11-01 15:00:12
BHMBCCMKT01,577,167,2016-11-01 15:27:09
BHMBCCMKT01,577,153,2016-11-01 16:00:09
BHMBCCMKT01,577,133,2016-11-01 16:33:14
BHMBCCMKT01,577,50,2016-11-02 07:56:18
BHMBCCMKT01,577,52,2016-11-02 08:30:14
BHMBCCMKT01,577,57,2016-11-02 08:56:14
BHMBCCMKT01,577,81,2016-11-02 09:30:15
BHMBCCMKT01,577,97,2016-11-02 09:56:15
BHMBCCMKT01,577,125,2016-11-02 10:29:19
BHMBCCMKT01,577,144,2016-11-02 10:56:16
BHMBCCMKT01,577,167,2016-11-02 11:30:19
BHMBCCMKT01,577,169,2016-11-02 11:56:19
BHMBCCMKT01,577,184,2016-11-02 12:30:20
BHMBCCMKT01,577,192,2016-11-02 13:03:20
BHMBCCMKT01,577,188,2016-11-02 13:30:18
